Casca,Cor,Tamanho,Polpa,Risco
aspera,marrom,grande,dura,baixo
aspera,verde,grande,dura,baixo
lisa,vermelho,grande,macia,alto
aspera,verde,grande,macia,baixo
aspera,vermelho,pequena,dura,baixo
lisa,vermelho,pequena,dura,baixo
lisa,marrom,pequena,dura,baixo
aspera,verde,pequena,macia,alto
lisa,verde,pequena,dura,alto
aspera,vermelho,grande,dura,baixo
lisa,marrom,grande,macia,baixo
lisa,verde,pequena,macia,alto
aspera,vermelho,pequena,macia,baixo
lisa,vermelho,grande,dura,alto
lisa,vermelho,pequena,dura,baixo
aspera,verde,pequena,dura,alto